City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
240,Sorland,NO,67.667,12.6934,51.66,79,76,22.15,broken clouds
241,Chapais,CA,49.7834,-74.8492,71.11,58,49,12.57,scattered clouds
242,Menzelinsk,RU,55.7271,53.1026,66.7,67,55,2.13,broken clouds
243,Yellowknife,CA,62.456,-114.3525,62.56,59,96,4.0,overcast clouds
244,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,69,20,17.27,few clouds
245,Flin Flon,CA,54.7682,-101.865,55.96,66,97,6.44,overcast clouds
246,Atar,MR,20.5169,-13.0499,95.36,38,97,7.25,light rain
247,Longyan,CN,25.1072,117.0225,78.39,77,2,2.04,clear sky
248,Miraflores,MX,19.2167,-98.8083,76.96,46,64,2.93,broken clouds
249,Constitucion,CL,-35.3333,-72.4167,59.63,74,99,8.99,overcast clouds
250,Dunyapur,PK,29.7995,71.7196,88.88,63,97,4.74,overcast clouds
251,Sharan,RU,54.8167,54.0,63.52,76,2,5.39,clear sky
252,Pevek,RU,69.7008,170.3133,31.62,90,100,2.21,overcast clouds
253,Cidreira,BR,-30.1811,-50.2056,68.76,82,92,4.34,overcast clouds
254,Eureka,US,40.8021,-124.1637,60.21,84,50,4.0,scattered clouds
255,Henties Bay,NA,-22.116,14.2845,60.89,69,0,8.55,clear sky
256,Sovetskiy,RU,61.3614,63.5842,56.62,52,41,6.87,scattered clouds
257,Luba,GQ,3.4568,8.5547,75.09,90,100,8.7,light rain
258,Akoupe,CI,6.39,-3.9003,78.06,73,97,3.87,overcast clouds
259,Tabou,CI,4.423,-7.3528,79.0,63,31,7.45,scattered clouds
260,Svobodnyy,RU,51.4,128.1333,60.55,75,31,5.37,scattered clouds
261,Srednekolymsk,RU,67.45,153.6833,42.64,76,55,11.07,broken clouds
262,Nortelandia,BR,-14.4547,-56.8028,95.7,19,27,6.26,scattered clouds
263,Businga,CD,3.3333,20.8833,69.75,99,100,3.44,light rain
264,Omboue,GA,-1.5746,9.2618,73.47,78,48,12.15,scattered clouds
265,Tandil,AR,-37.3217,-59.1332,54.68,49,100,6.06,overcast clouds
266,Axim,GH,4.8699,-2.2405,78.17,68,84,8.39,broken clouds
267,San Jeronimo,PE,-11.9472,-75.2829,61.65,25,35,3.02,scattered clouds
268,Phek,IN,25.6667,94.5,63.48,98,100,0.87,moderate rain
269,Hovd,MN,48.0056,91.6419,69.76,36,100,8.57,moderate rain
270,Mehamn,NO,71.0357,27.8492,55.35,82,75,14.97,broken clouds
271,Chimore,BO,-16.9833,-65.1333,87.06,43,19,4.54,few clouds
272,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,72,2,12.66,clear sky
273,Port Augusta,AU,-32.5,137.7667,56.71,63,100,9.08,overcast clouds
274,Roald,NO,62.5833,6.1333,61.16,77,40,16.11,scattered clouds
275,Ziro,IN,27.6333,93.8333,60.78,91,100,2.84,overcast clouds
276,Natal,BR,-5.795,-35.2094,86.22,66,75,19.57,broken clouds
277,Miguel Hidalgo,MX,19.4225,-99.2028,77.5,52,84,1.99,broken clouds
278,Fortuna,US,40.5982,-124.1573,59.94,86,69,1.99,broken clouds
279,Ponta Delgada,PT,37.7333,-25.6667,72.32,78,40,6.91,scattered clouds
280,Tilichiki,RU,60.4667,166.1,50.97,81,100,2.24,overcast clouds
281,Richards Bay,ZA,-28.783,32.0377,68.07,78,0,12.15,clear sky
282,Seinajoki,FI,62.7945,22.8282,63.18,87,0,6.91,light rain
283,Tubuala,PA,9.5167,-79.0333,82.49,75,88,2.75,overcast clouds
284,Mokhsogollokh,RU,61.4681,128.9203,61.92,99,100,5.7,heavy intensity rain
285,Westport,US,41.1415,-73.3579,94.35,51,0,1.01,clear sky
286,Bakchar,RU,57.0186,82.0711,54.55,97,100,9.28,overcast clouds
287,Matara,LK,5.9485,80.5353,78.89,85,100,13.6,overcast clouds
288,Oranjemund,NA,-28.55,16.4333,55.9,85,41,9.51,scattered clouds
289,Saint-Philippe,RE,-21.3585,55.7679,69.39,81,35,14.23,light rain
290,Oxford,GB,51.7522,-1.256,69.91,60,75,9.22,broken clouds
291,Steubenville,US,40.3698,-80.634,87.93,62,0,4.0,clear sky
292,Nioki,CD,-2.7167,17.6833,83.64,52,100,2.84,overcast clouds
293,El Tigre,VE,8.8875,-64.2454,89.51,43,75,14.27,broken clouds
294,Chumikan,RU,54.7183,135.315,50.25,98,77,2.33,broken clouds
295,Hualmay,PE,-11.0964,-77.6139,65.98,69,55,6.91,broken clouds
296,Suarez,CO,2.954,-76.6964,80.56,61,98,2.24,overcast clouds
297,Yenangyaung,MM,20.4667,94.8833,77.65,86,100,15.12,overcast clouds
298,Moose Factory,CA,51.2585,-80.6094,73.96,62,63,11.43,broken clouds
299,Northam,GB,51.0333,-4.2167,66.38,65,12,14.38,few clouds
300,Semikarakorsk,RU,47.5194,40.8112,67.66,61,81,10.0,broken clouds
301,Luderitz,NA,-26.6481,15.1594,61.07,68,13,14.36,few clouds
302,Lalmohan,BD,22.3384,90.7419,83.32,81,100,10.87,light rain
303,Santa Rosalia,MX,27.3167,-112.2833,92.98,36,96,4.45,overcast clouds
304,Severo-Kurilsk,RU,50.6789,156.125,54.45,93,100,3.42,overcast clouds
305,Saint-Joseph,RE,-21.3667,55.6167,68.38,78,22,13.38,few clouds
306,Bayji,IQ,34.9311,43.487,97.38,13,0,9.78,clear sky
307,Schoonhoven,NL,51.9475,4.8486,71.96,63,100,1.01,overcast clouds
308,Bataipora,BR,-22.2953,-53.2711,89.49,21,8,8.5,clear sky
309,Springfield,US,37.2153,-93.2982,95.18,45,54,1.99,broken clouds
310,Sao Filipe,CV,14.8961,-24.4956,75.83,80,72,6.73,broken clouds
311,Mount Gambier,AU,-37.8333,140.7667,50.85,97,100,8.9,light rain
312,Zemio,CF,5.0314,25.1361,69.89,96,88,3.74,moderate rain
313,Kudal,IN,16.0333,73.6833,78.21,87,98,5.99,overcast clouds
314,Asau,RO,46.4333,26.4,85.28,42,0,5.55,clear sky
315,Lazaro Cardenas,MX,17.9583,-102.2,85.1,69,99,5.61,overcast clouds
316,Lashio,MM,22.9333,97.75,70.03,98,86,1.5,overcast clouds
317,Pangody,RU,65.85,74.4859,46.89,84,100,3.6,overcast clouds
318,Krasnoselkup,RU,65.7,82.4667,54.43,93,100,12.59,overcast clouds
319,Asosa,ET,10.0667,34.5333,61.77,93,87,1.74,overcast clouds
320,Syriam,MM,16.7722,96.2378,78.91,94,75,3.44,broken clouds
321,Luena,AO,-11.7833,19.9167,70.18,31,66,4.7,broken clouds
322,Algiers,DZ,36.7525,3.042,85.82,62,0,8.05,clear sky
323,Rocha,UY,-34.4833,-54.3333,63.57,71,71,2.17,broken clouds
324,Lleida,ES,41.6167,0.6167,98.8,33,0,14.97,clear sky
325,Pipri,IN,19.8,75.5333,73.72,91,100,10.6,light rain
326,Roma,US,43.2128,-75.4557,85.82,49,0,5.01,clear sky
327,Olot,ES,42.181,2.4901,92.71,41,55,4.0,broken clouds
328,Uribia,CO,11.7139,-72.266,92.64,45,46,25.97,scattered clouds
329,Havre-Saint-Pierre,CA,50.2334,-63.5986,63.75,93,99,2.55,overcast clouds
330,Ramachandrapuram,IN,16.85,82.0167,81.01,83,100,9.13,overcast clouds
331,Aksu,CN,41.1231,80.2644,87.22,17,0,5.01,clear sky
332,Astoria,US,46.1879,-123.8313,62.47,88,100,5.75,mist
333,Saint-Francois,FR,46.4154,3.9054,87.24,33,100,3.44,overcast clouds
334,Mayo,US,38.8876,-76.5119,95.0,49,71,4.0,broken clouds
335,Dubna,RU,56.7333,37.1667,67.78,72,28,4.18,scattered clouds
336,Victoria,HK,22.2855,114.1577,89.19,82,3,8.99,clear sky
337,Saskylakh,RU,71.9167,114.0833,47.5,73,100,6.64,overcast clouds
338,Umba,RU,66.6871,34.3429,65.35,68,97,8.75,overcast clouds
339,Panama City,PA,8.9936,-79.5197,88.45,75,40,6.91,scattered clouds
340,Ust-Omchug,RU,61.15,149.6333,52.27,76,97,1.36,overcast clouds
341,Lagoa,PT,39.05,-27.9833,72.73,86,100,8.84,overcast clouds
342,Goundi,TD,9.3627,17.366,74.68,90,100,4.32,moderate rain
343,Polewali,ID,-3.4324,119.3435,76.96,89,51,4.32,broken clouds
344,Ust-Barguzin,RU,53.45,108.9833,58.3,98,100,3.02,light rain
345,Kieta,PG,-6.2167,155.6333,76.96,75,9,2.73,clear sky
346,Gat,IL,31.61,34.7642,83.8,100,0,9.62,clear sky
347,Peniche,PT,39.3558,-9.3811,79.09,78,24,18.61,few clouds
348,Isfana,KG,39.8386,69.5306,79.36,21,0,4.83,clear sky
349,Raudeberg,NO,61.9875,5.1352,61.47,80,69,25.77,broken clouds
350,Rypefjord,NO,70.6333,23.6667,52.27,100,75,11.5,broken clouds
351,Chuy,UY,-33.6971,-53.4616,60.01,83,100,3.15,overcast clouds
352,Saquarema,BR,-22.92,-42.5103,78.94,63,0,9.75,clear sky
353,Tazmalt,DZ,36.3868,4.3989,99.28,19,19,8.03,few clouds
354,Geraldton,AU,-28.7667,114.6,50.41,93,76,13.8,broken clouds
355,Corn Island,NI,12.1694,-83.0418,80.92,81,100,15.17,moderate rain
356,Kuala Terengganu,MY,5.3302,103.1408,80.55,94,40,1.14,scattered clouds
357,Devonport,AU,-41.1667,146.35,54.99,81,100,12.35,overcast clouds
358,Port Hueneme,US,34.1478,-119.1951,80.33,78,20,3.87,few clouds
359,Bethlehem,BR,-1.4558,-48.5044,89.64,55,40,9.22,scattered clouds
360,Sarkand,KZ,45.41,79.9186,76.98,30,39,7.92,scattered clouds
361,Mabaruma,GY,8.2,-59.7833,86.5,59,52,6.82,broken clouds
362,Forio,IT,40.7342,13.8646,88.09,85,0,11.99,clear sky
